Bairro,Rua,Qtd_Comércios_existentes,Indice_Fluxo_Pedestres,Renda_média_Familiar_R$,Coef_Concentration_Conc,Potencial_Delivery_Score,Score_Global_Final,Custo_Luvas_m2_R$,Aluguel_Mensal_m2_R$,Custo_Total_Ano1_R$,Indice_Rentabilidade_Imobi
Copacabana,Galeria Luiz Thomaz,4,51,8200,0.0024,98,50,2700,180,267300,78
Leblon,Rua Mário Ribeiro,4,55,16500,0.0012,45,50,4900,320,480700,42
Leblon,Avenida Rodrigo Otávio,4,63,16500,0.0024,88,62,5050,330,495550,39
Leblon,Rua Rita Ludolf,4,55,16500,0.0024,88,58,4900,320,480700,42
Botafogo,Rua Rodrigo de Brito,4,51,9800,0.0024,95,51,2700,180,267300,78
Laranjeiras,"Rua das Laranjeiras, 336",4,71,8500,0.0024,75,54,1900,140,196900,89
Copacabana,Ponto Final: Copacabana :: Linha 455,4,55,8200,0.0024,98,51,2750,180,270050,77
Flamengo,Rua Jornalista Orlando Dantas,4,59,9200,0.0024,88,52,1800,130,184800,92
Botafogo,Rua Professor Alfredo Gomes,4,62,9800,0.0024,95,56,2850,190,282150,75
Ipanema,Avenida Francisco Bhering,4,51,14800,0.0024,90,55,4800,320,475200,43
Botafogo,Vila Gauy,4,57,9800,0.0024,95,53,2800,180,272800,77
Flamengo,Rua Paulo VI,4,60,9200,0.0006,75,50,1800,130,184800,92
Leblon,BRS 1 - Rita Ludolf,4,55,16500,0.0024,88,58,4900,320,480700,42
Laranjeiras,Rua Professora Estelita Lins,4,57,8500,0.0024,75,48,1750,130,182050,92
Ipanema,Rua Joaquim Nabuco,4,55,14800,0.0024,90,57,4900,320,480700,42
Leblon,Rua Almirante Guilhem,4,59,16500,0.0024,88,60,5000,330,492800,40
Botafogo,Rua Visconde de Silva,4,64,9800,0.0024,95,57,2900,190,284900,75
Botafogo,Rua Ipu,4,57,9800,0.0024,95,53,2800,180,272800,77
Laranjeiras,Tricolor,3,66,8500,0.0018,75,51,1850,140,194150,90
Laranjeiras,Rua Engenheiro Fernando Nascimento da Silva,3,53,8500,0.0018,75,46,1750,130,182050,92
Laranjeiras,Rua Eugênio Hussek,3,50,8500,0.0018,75,44,1700,130,179300,92
Laranjeiras,Travessa Euricles Mattos,3,53,8500,0.0018,75,46,1750,130,182050,92
Botafogo,Rua Hans Staden,3,53,9800,0.0018,95,51,2750,180,270050,77
Humaitá,Rua Conde de Irajá,3,63,9100,0.0018,70,50,2900,190,284900,75
São Conrado,Rua São Leobaldo,3,53,11500,0.0018,30,40,1400,100,143000,99
São Conrado,Rua Embaixador Gabriel Landa,3,50,11500,0.0018,30,38,1400,100,143000,99
Botafogo,Rua São Manuel,3,53,9800,0.0018,95,51,2750,180,270050,77
Botafogo,Túnel Velho,3,50,9800,0.0018,98,50,2700,180,267300,78
Copacabana,Túnel Velho,3,50,8200,0.0018,98,48,2700,180,267300,78
Jardim Botânico,Rua Conde Afonso Celso,3,50,12500,0.0018,45,42,2700,180,267300,78
Humaitá,Rua Cesário Alvim,3,50,9100,0.0018,70,44,2700,180,267300,78
Gávea,Rua Professor Manoel Ferreira,3,53,13200,0.0018,45,44,1400,100,143000,99
Laranjeiras,Rua Álvaro Chaves,3,50,8500,0.0018,75,44,1700,130,179300,92
Laranjeiras,Rua Pereira da Silva,3,56,8500,0.0018,75,47,1750,130,182050,92
Ipanema,Rua Paul Redfern,3,50,14800,0.0018,90,54,4800,320,475200,43
Copacabana,Cardeal Arcoverde,3,63,8200,0.0018,98,54,2900,190,284900,75
Ipanema,BRS 2: Joana Angélica,3,53,14800,0.0018,90,55,4850,320,477950,42
São Conrado,Estrada do Joá,3,53,11500,0.0018,30,40,1400,100,143000,99
Copacabana,Galeria Menescal,3,57,8200,0.0018,98,52,2800,180,272800,77
Copacabana,BRS 2 Belford Roxo,3,57,8200,0.0018,98,52,2800,180,272800,77
Copacabana,BRS 1 Xavier da Silveira,3,56,8200,0.0018,98,51,2800,180,272800,77
Copacabana,BRS 3 Bolivar,3,53,8200,0.0018,98,50,2750,180,270050,77
Urca,Praça dos Bondes,3,50,11800,0.0018,35,40,1400,100,143000,99
Gávea,Rua Artur Araripe,3,56,13200,0.0018,45,46,1450,100,145750,98
Leblon,Rua Jerônimo Monteiro,3,50,16500,0.0018,88,55,4800,320,475200,43
Copacabana,Rua Carvalho de Mendonça,3,53,8200,0.0018,98,50,2750,180,270050,77
Leblon,Rua Professor Azevedo Marques,3,57,16500,0.0018,88,58,4950,330,490050,40
Copacabana,Ponto Regulador: Metrô Siqueira Campos,3,96,8200,0.0018,98,69,3350,200,316250,69
Flamengo,Rua do Pinheiro,3,50,9200,0.0018,88,48,1700,130,179300,92
Copacabana,Praça Eugênio Jardim,3,58,8200,0.0018,98,52,2800,180,272800,77
Botafogo,Passagem Paulo Roberto Lopes Lima,3,59,9800,0.0018,95,54,2850,180,275550,76
Copacabana,Rua Anita Garibaldi,3,50,8200,0.0018,98,48,2700,180,267300,78
Leblon,Rua João Lira,3,50,16500,0.0018,88,55,4800,320,475200,43
Humaitá,Rua Vitório da Costa,3,58,9100,0.0018,70,47,2800,180,272800,77
Leblon,Rua Almirante Pereira Guimarães,3,56,16500,0.0018,88,58,4900,330,487300,41
